Angle deg,Incidence angle rad,IAM_transv SAM,IAM_log SAM,IAM_transv SOL,IAM_log SOL,IAM_log SOL_real,IAM_transv SOL_real,IAM_transv SOL_old,IAM_log SOL_old
56.5,0.986111027,0.739739616,0.408586412,0.684708943,0.480606013,,,0.757316624,0.500486166
56.6,0.987856357,0.738381107,0.406504087,0.683125652,0.478912711,,,0.755913172,0.498921792
56.7,0.989601686,0.737017958,0.404421117,0.68153839,0.477218255,,,0.754504365,0.497356051
56.8,0.991347015,0.735650161,0.402337543,0.679947165,0.475522662,,,0.753090205,0.495788955
56.9,0.993092344,0.734277708,0.400253401,0.678351987,0.473825946,,,0.751670689,0.494220516
57,0.994837674,0.732900592,0.398168732,0.676752865,0.472128125,,,0.750245819,0.492650745
57.1,0.996583003,0.731518805,0.396083575,0.675149809,0.470429214,,,0.748815593,0.491079653
57.2,0.998328332,0.730132341,0.393997968,0.673542828,0.468729229,,,0.747380013,0.489507253
57.3,1.000073661,0.728741192,0.391911952,0.671931933,0.467028187,,,0.745939077,0.487933556
57.4,1.001818991,0.72734535,0.389825566,0.670317134,0.465326103,,,0.744492786,0.486358575
57.5,1.00356432,0.725944808,0.38773885,0.668698439,0.463622995,,,0.74304114,0.48478232
57.6,1.005309649,0.724539558,0.385651844,0.66707586,0.461918879,,,0.74158414,0.483204803
57.7,1.007054978,0.723129594,0.383564587,0.665449405,0.46021377,,,0.740121784,0.481626038
57.8,1.008800308,0.721714907,0.381477121,0.663819087,0.458507687,,,0.738654074,0.480046035
57.9,1.010545637,0.720295491,0.379389486,0.662184914,0.456800644,,,0.73718101,0.478464806
58,1.012290966,0.718871337,0.377301722,0.660546897,0.455092659,,,0.735702593,0.476882365
58.1,1.014036295,0.717442439,0.37521387,0.658905046,0.453383748,,,0.734218823,0.475298721
58.2,1.015781625,0.716008789,0.373125971,0.657259373,0.451673928,,,0.7327297,0.473713889
58.3,1.017526954,0.714570379,0.371038067,0.655609887,0.449963216,,,0.731235225,0.47212788
58.4,1.019272283,0.713127202,0.368950198,0.653956599,0.448251629,,,0.7297354,0.470540706
58.5,1.021017612,0.711679251,0.366862405,0.65229952,0.446539183,,,0.728230224,0.468952379
58.6,1.022762942,0.710226519,0.364774732,0.650638661,0.444825896,,,0.726719698,0.467362912
58.7,1.024508271,0.708768997,0.362687218,0.648974033,0.443111784,,,0.725203824,0.465772317
58.8,1.0262536,0.707306679,0.360599906,0.647305646,0.441396864,,,0.723682603,0.464180607
58.9,1.027998929,0.705839556,0.358512839,0.645633512,0.439681154,,,0.722156035,0.462587793
59,1.029744259,0.704367623,0.356426058,0.643957642,0.43796467,,,0.720624122,0.460993889
59.1,1.031489588,0.70289087,0.354339606,0.642278048,0.43624743,,,0.719086865,0.459398906
59.2,1.033234917,0.701409291,0.352253525,0.640594739,0.434529451,,,0.717544265,0.457802858
59.3,1.034980246,0.699922879,0.350167858,0.638907729,0.432810751,,,0.715996323,0.456205757
59.4,1.036725576,0.698431625,0.348082648,0.637217027,0.431091346,,,0.714443041,0.454607616
59.5,1.038470905,0.696935523,0.345997938,0.635522647,0.429371254,,,0.712884421,0.453008447
59.6,1.040216234,0.695434565,0.343913772,0.633824599,0.427650492,,,0.711320463,0.451408263
59.7,1.041961563,0.693928744,0.341830191,0.632122896,0.425929079,,,0.70975117,0.449807076
59.8,1.043706893,0.692418051,0.339747241,0.630417548,0.424207031,,,0.708176544,0.4482049
59.9,1.045452222,0.690902481,0.337664964,0.628708569,0.422484366,,,0.706596585,0.446601748
60,1.047197551,0.689382025,0.335583405,0.626995969,0.420761103,,,0.705011296,0.444997632
60.1,1.04894288,0.687856676,0.333502607,0.625279762,0.419037257,,,0.703420678,0.443392565
60.2,1.05068821,0.686326426,0.331422616,0.623559958,0.417312848,,,0.701824734,0.441786561
60.3,1.052433539,0.684791269,0.329343474,0.621836571,0.415587894,,,0.700223466,0.440179631
60.4,1.054178868,0.683251196,0.327265226,0.620109612,0.413862411,,,0.698616875,0.43857179
60.5,1.055924197,0.6817062,0.325187918,0.618379094,0.412136418,,,0.697004965,0.436963051
60.6,1.057669527,0.680156275,0.323111593,0.61664503,0.410409933,,,0.695387736,0.435353426
60.7,1.059414856,0.678601411,0.321036297,0.614907431,0.408682974,,,0.693765192,0.433742928
60.8,1.061160185,0.677041603,0.318962076,0.613166312,0.40695556,,,0.692137334,0.432131572
60.9,1.062905514,0.675476842,0.316888973,0.611421683,0.405227707,,,0.690504166,0.43051937
61,1.064650844,0.673907121,0.314817036,0.609673558,0.403499435,,,0.688865689,0.428906335
61.1,1.066396173,0.672332433,0.312746308,0.60792195,0.401770762,,,0.687221907,0.427292481
61.2,1.068141502,0.670752771,0.310676837,0.606166873,0.400041706,,,0.685572822,0.425677822
